date,close,volume,open,high,low
9/10/14,89.25,6245282,88.66,89.4,88.33
9/9/14,88.93,8101277,90.21,90.33,88.775
9/8/14,90.82,4883709,91.38,91.78,90.57
9/5/14,91.61,7746361,89.66,91.64,89.2809
9/4/14,89.93,8452200,89,90.75,89
9/3/14,89,15410010,91.11,91.31,88.98
9/2/14,91.15,20733660,93.04,93.31,89.85
8/29/14,93.5,7671323,92.74,93.52,92.61
8/28/14,92.51,7575652,91.4,92.73,91.27
8/27/14,91.87,4318054,91.68,91.96,91.311
8/26/14,91.63,5396390,90.98,91.83,90.9
8/25/14,91.2,7317039,91.25,91.82,90.95
8/22/14,91.03,6939238,90.74,91.33,90.65
8/21/14,91.15,8315128,90.68,91.808,90.67
8/20/14,90.75,13394130,88.17,91.07,88.08
8/19/14,88.23,18230060,86.9,88.99,86.57
8/18/14,83.59,9470539,84.21,84.62,83.293
8/15/14,83.69,5383543,84.035,84.09,82.845
8/14/14,83.86,4922998,83.09,83.965,82.74
8/13/14,83.12,4498611,82.98,83.385,82.74
8/12/14,82.92,3657060,82.75,83.09,82.68
8/11/14,82.88,3951965,82.61,83.07,82.5
8/8/14,82.43,7226493,81.07,82.46,80.88
8/7/14,80.47,4045922,80.75,81.07,80.29
8/6/14,80.52,4228246,79.94,81.02,79.85
8/5/14,80.03,5895423,79.78,80.86,79.78
8/4/14,80.03,7022543,79.7,80.25,79.66
8/1/14,79.75,8700584,80.56,81.0799,79.74
7/31/14,80.85,5748862,81.09,81.58,80.85
7/30/14,81.76,5807328,81.5,81.85,81.07
7/29/14,80.98,4536457,81.21,81.81,80.89
7/28/14,81.07,3441091,81.2,81.34,80.66
7/25/14,81.03,4680092,81.1,81.3,80.89
7/24/14,81.2,4358872,81.19,81.54,80.89
7/23/14,81.02,3624880,80.46,81.09,80.21
7/22/14,80.54,6336052,80.36,80.75,80.2
7/21/14,79.71,4112787,80.01,80.03,79.525
7/18/14,80.08,5323227,79.8,80.28,79.45
7/17/14,79.55,7697331,79.45,79.88,79.23
7/16/14,79.66,9033661,80.04,80.24,79.38
7/15/14,79.86,6051871,79.5,80.06,79.42
7/14/14,79.46,7657163,79.92,80.06,79.19
7/11/14,79.61,4746427,79.59,79.9,79.21
7/10/14,79.4,11530910,79.05,79.58,77.95
7/9/14,80.73,6978811,81.11,81.23,80.175
7/8/14,80.76,7322874,81.42,81.53,80.55
7/7/14,81.42,6071028,81.73,82.09,81.14
7/3/14,82.05,2764040,82.07,82.35,81.8
7/2/14,81.98,4185721,81.84,82.18,81.62
7/1/14,81.82,5234564,81.32,81.97,81.22
6/30/14,80.96,5045310,81.02,81.23,80.48
6/27/14,81.13,5010745,80.65,81.47,80.63
6/26/14,80.75,5165179,80.45,80.97,80.12
6/25/14,80.53,4486289,80.36,80.61,80.12
6/24/14,80.43,5579118,80.38,80.83,79.83
6/23/14,80.64,4920429,80.16,80.8,79.97
6/20/14,80.17,13661010,80.69,80.8,79.86
6/19/14,80.44,5095449,80.71,80.85,79.95
6/18/14,80.71,8071483,80.03,80.76,79.79
6/17/14,80.02,9587270,78.84,80.46,78.73
6/16/14,78.9,7164369,77.96,79.09,77.96
6/13/14,78.07,7971776,78.49,78.59,77.75
6/12/14,78.43,7643311,79.73,79.78,78.2
6/11/14,79.81,4918060,80.46,80.73,79.76
6/10/14,80.74,4238446,80.26,80.85,80.22
6/9/14,80.61,3718643,80.63,81.32,80.42
6/6/14,80.64,4460294,80.58,81.27,80.51
6/5/14,80.38,5666434,80.67,80.86,80.28
6/4/14,80.54,4959660,80.32,80.89,80.06
6/3/14,80.67,5477706,80.19,80.88,80.15
6/2/14,80.84,6817683,80.25,81.06,80.17
5/30/14,80.23,4528008,79.77,80.27,79.58
5/29/14,79.9,4408854,79.88,79.99,79.44
5/28/14,79.68,4002161,79.75,80,79.27
